Movie_Name,Genres,Cast,Original_Language,Vote_Average,Budget_USD
It Ends with Us,"['Drama', 'Romance']","['Blake Lively', 'Justin Baldoni', 'Jenny Slate', 'Hasan Minhaj', 'Brandon Sklenar', 'Kevin McKidd', 'Amy Morton', 'Alex Neustaedter', 'Isabela Ferrer', 'Robert Clohessy', 'Robin S. Walker', 'Emily Baldoni', 'Adam Mondschein', 'Caroline Siegrist', 'Robyn Lively', 'Megan Robinson', 'Steve Monroe', 'Daphne Zelle']",['English'],6.4,$25.0M
Nightbitch,"['Comedy', 'Horror']","['Amy Adams', 'Scoot McNairy', 'Arleigh Snowden', 'Emmett Snowden', 'Jessica Harper', 'Zoë Chao', 'Mary Holland', 'Archana Rajan', 'Nate Heller', 'Darius De La Cruz', 'Ella Thomas', 'Stacey Swift', 'Garrett C. Phillips', 'Adrienne Rose White', 'Michaela Baham', ""Kerry O'Malley"", 'Roslyn Gentle', 'Michael Andrew Baker']",['English'],5.6,$0
Flow,"['Animation', 'Adventure', 'Family', 'Fantasy']",['Not_Found'],['None'],7.9,$3.8M
Solo Leveling,"['Animation', 'Action', 'Adventure', 'Fantasy']","['Taito Ban', 'Jimmy Tandel', 'Rebecca Wang', 'Aleks Le', 'Min Seung-woo', 'Haruna Mikawa', 'Rina Honnizumi', 'Genta Nakamura', 'Makoto Furukawa', 'Ryosuke Higa', 'Ikuto Kanemasa', 'Dani Chambers', 'Eiji Hanawa', 'SungWon Cho', 'Sean Hennigan', 'Banjô Ginga', 'Kakeru Hatano', 'Daisuke Hirakawa']","['Japanese', 'English']",8.4,$0
Black Doves,"['Action', 'Drama', 'Mystery', 'Thriller']","['Keira Knightley', 'Ben Whishaw', 'Sarah Lancashire', 'Andrew Buchan', 'Andrew Koji', 'Omari Douglas', 'Sam Troughton', 'Ella Lily Hyland', 'Isabella Wei', 'Charlotte Rice-Foley', 'Taylor Sullivan', 'Gabrielle Creevy', 'Kathryn Hunter', ""Agnes O'Casey"", 'Ken Nwosu', 'Luther Ford', 'Finn Bennett', 'Tai Yin Chan']",['English'],7.2,$0
Alien: Romulus,"['Horror', 'Sci-Fi', 'Thriller']","['Cailee Spaeny', 'David Jonsson', 'Archie Renaux', 'Isabela Merced', 'Spike Fearn', 'Aileen Wu', 'Rosie Ede', 'Soma Simon', 'Bence Okeke', 'Viktor Orizu', 'Robert Bobroczkyi', 'Trevor Newlin', 'Annemarie Griggs', 'Ian Holm', 'Daniel Betts', 'Elemer Szatmari']",['English'],7.1,$80.0M
The Apprentice,"['Biography', 'Drama', 'History']","['Sebastian Stan', 'Jeremy Strong', 'Martin Donovan', 'Maria Bakalova', 'Catherine McNally', 'Charlie Carrick', 'Ben Sullivan', 'Mark Rendall', 'Joe Pingue', 'Ron Lea', 'Edie Inksetter', 'Matt Baram', 'Moni Ogunsuyi', 'Brad Austin', 'Stuart Hughes', 'Jim Monaco', 'Clare Coulter', 'Hume Baugh']","['English', 'Hebrew']",7.1,$15.0M
Juror #2,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Nicholas Hoult', 'Toni Collette', 'J.K. Simmons', 'Kiefer Sutherland', 'Zoey Deutch', 'Megan Mieduch', 'Melanie Harrison', 'Adrienne C. Moore', 'Drew Scheid', 'Leslie Bibb', 'Hedy Nasser', 'Phil Biedron', 'Cedric Yarbrough', 'Bria Brimmer', 'Chris Messina', 'Amy Aquino', 'Gabriel Basso', 'Chikako Fukuyama']",['English'],7.0,$30.0M
A Different Man,"['Comedy', 'Drama', 'Thriller']","['Sebastian Stan', 'Renate Reinsve', 'Adam Pearson', 'Miles G. Jackson', 'Patrick Wang', 'Neal Davidson', 'Jed Rapfogel', 'Marc Geller', 'James Foster Jr.', 'JJ McGlone', 'Sergio Delavicci', 'Lawrence Arancio', 'Billy Griffith', 'John Klacsmann', 'Cosmo Bjorkenheim', 'John Keating', 'C. Mason Wells', 'Corey R. Taylor']",['English'],6.9,$0
The Penguin,"['Crime', 'Drama']","['Colin Farrell', 'Cristin Milioti', 'Rhenzy Feliz', ""Deirdre O'Connell"", 'Carmen Ejogo', 'Theo Rossi', 'Clancy Brown', 'Daniel J. Watts', 'David H. Holmes', 'Michael Kelly', 'Shohreh Aghdashloo', 'Aria Shahghasemi', 'Robert Lee Leng', 'Kenzie Grey', 'Myles Humphus', 'Michael Zegen', 'Jared Abrahamson', 'James Madio']",['English'],8.6,$0
